"Player","Season","Team","Position","GP","TOI","G","A","P","P1","P/60","P1/60","GS","GS/60","CF","CA","C+/-","CF%","Rel CF%","GF","GA","G+/-","xGF","xGA","xG+/-","xGF%","Rel xGF%","iPENT","iPEND","iP+/-","iCF","iCF/60","ixGF","ixGF/60","iSh%","PDO","ZSR","TOI%","TOI% QoT","CF% QoT","TOI% QoC","CF% QoC"
"Jake Dowell","9-10","CHI","C","1","7.72","1","1","2","2","15.54","15.54","2.04","15.85","9","2","7","81.82","30.94","2","1","1","0.4","0.16","0.24","71.43","28.57","--","--","--","1","7.77","0.07","0.54","100","78.57","50","18.02","27.7","55.3","28.07","48.78"
"Jakub Kindl","9-10","DET","D","3","29.7","--","--","--","--","--","--","-0.88","-1.78","15","28","-13","34.88","-22.19","--","2","-2","0.48","0.97","-0.49","33.1","-21.36","--","--","--","3","6.06","0.05","0.1","--","90.48","35.71","19.44","25.07","52.49","27.41","48.87"
"Jakub Voracek","9-10","CBJ","R","80","996.18","10","22","32","24","1.93","1.45","30.05","1.81","842","850","-8","49.76","2.63","47","50","-3","34.97","35","-0.03","49.98","2.43","10","13","3","182","10.96","7.41","0.45","9.35","98.47","54.86","27.14","29.76","47.08","28.82","50.17"
"Jamal Mayers","9-10","TOR/ CGY","R","71","579.2","3","10","13","9","1.35","0.93","7.05","0.73","444","550","-106","44.67","-10.47","16","20","-4","18.33","20.36","-2.03","47.38","-8.9","39","25","-14","113","11.71","4.94","0.51","4.35","100.02","55.08","17.27","27.98","51.74","27.93","49.48"
"James Neal","9-10","DAL","L","77","1046.05","22","19","41","31","2.35","1.78","35.7","2.05","930","1030","-100","47.45","-0.46","51","55","-4","39.11","42.02","-2.91","48.21","-0.01","17","23","6","241","13.82","13.09","0.75","15.38","100.45","53.22","29.15","30.99","47.71","29.5","50.08"
"James Sheppard","9-10","MIN","C","64","679.08","2","3","5","4","0.44","0.35","1.58","0.14","550","664","-114","45.3","-2.27","20","33","-13","20.13","25.03","-4.9","44.57","-4.06","8","13","5","106","9.37","4.5","0.4","3.45","97.57","39.63","23.27","28.59","48.23","28.33","49.69"
"James Vandermeer","9-10","ARI","D","62","909.77","4","5","9","7","0.59","0.46","15.57","1.03","827","744","83","52.64","0.27","33","31","2","30.67","30.24","0.43","50.35","-2.76","16","7","-9","137","9.04","2.76","0.18","6.78","100.1","48.59","32.52","27.56","51.4","29.01","49.69"
"James Van Riemsdyk","9-10","PHI","L","78","854.18","10","16","26","19","1.83","1.33","33.01","2.32","877","784","93","52.8","2.86","35","34","1","41.17","33.06","8.11","55.46","5.06","10","5","-5","230","16.16","11.45","0.8","7.3","99.29","58.46","24.48","29.76","49.24","28.69","49.79"
"James Wisniewski","9-10","ANA","D","69","1164.95","1","15","16","6","0.82","0.31","20.62","1.06","1075","1044","31","50.73","5.71","41","45","-4","45.87","49.04","-3.17","48.33","4.18","15","13","-2","196","10.09","5.02","0.26","1.01","99.52","47.98","36.51","29.49","46.86","29.62","50.46"
"James Wright","9-10","T.B","C","48","451.52","2","3","5","5","0.66","0.66","-0.19","-0.03","287","389","-102","42.46","-7.21","9","18","-9","12.24","14.86","-2.62","45.17","-1.39","5","8","3","43","5.71","3.59","0.48","8.33","96.81","33.47","21.12","28.26","48.67","28.6","49.99"
"James Wyman","9-10","MTL","R","3","12.78","--","--","--","--","--","--","-0.71","-3.33","5","14","-9","26.32","-19.25","--","2","-2","0.1","0.75","-0.65","11.76","-40.15","--","--","--","1","4.69","0.01","0.05","--","77.78","14.29","8.38","24.92","46.57","26.89","49.41"
"Jamie Benn","9-10","DAL","L","81","984.4","20","13","33","24","2.01","1.46","37.54","2.29","882","860","22","50.63","3.5","39","37","2","33.36","33.2","0.16","50.12","2.32","15","22","7","245","14.93","12.13","0.74","14.08","100.22","56.13","26.15","30.1","47.83","29.26","50.1"
"Jamie Langenbrunner","9-10","N.J","R","81","1148.68","8","24","32","20","1.67","1.04","38.72","2.02","1037","927","110","52.8","2.64","45","39","6","41.68","36.93","4.75","53.02","2.31","12","9","-3","262","13.69","10.42","0.54","5.41","100.01","55.7","29.58","31.68","50.87","29.99","49.99"
"Jamie Lundmark","9-10","CGY/ TOR","C","36","427","4","4","8","7","1.12","0.98","10.41","1.46","414","357","57","53.7","0.74","11","19","-8","16.9","14.16","2.74","54.41","4.25","7","2","-5","70","9.84","4.65","0.65","9.09","95.45","53.05","25.46","30.91","51.06","29.3","49.72"
"Jamie Mcbain","9-10","CAR","D","14","254.62","1","2","3","1","0.71","0.24","3.7","0.87","242","282","-40","46.18","-0.63","14","8","6","10.95","12.58","-1.63","46.54","0.57","--","2","2","36","8.48","0.7","0.16","5.56","104.34","53.06","38.23","29.1","48.86","29.56","50.17"
"Jamie Mcginn","9-10","S.J","L","59","541.75","10","3","13","11","1.44","1.22","12.96","1.44","471","487","-16","49.16","-2.56","19","22","-3","17.72","20.05","-2.33","46.92","-5.37","12","5","-7","120","13.29","5.78","0.64","14.08","99.25","49.21","20.15","27.79","50.64","28.21","49.6"
"Jan Hejda","9-10","CBJ","D","61","976.9","2","6","8","4","0.49","0.25","-0.28","-0.02","736","927","-191","44.26","-6.04","24","48","-24","28.44","35.86","-7.42","44.23","-5.94","9","7","-2","108","6.63","1.83","0.11","3.51","96.66","41.55","34.67","28.14","48.74","29.77","50.43"
"Jannik Hansen","9-10","VAN","R","47","462","8","5","13","9","1.69","1.17","13.35","1.73","399","376","23","51.48","-0.65","17","21","-4","15.81","15.99","-0.18","49.72","-3.41","6","6","--","88","11.43","4.22","0.55","17.02","98.17","49.52","22.09","28.53","49.71","28.59","49.83"
"Jared Boll","9-10","CBJ","R","67","468.87","4","3","7","5","0.9","0.64","7.05","0.9","338","377","-39","47.27","-1","10","17","-7","12.73","12.87","-0.14","49.73","1.63","33","39","6","80","10.24","3.4","0.44","7.84","97.33","53.54","15.24","28.29","48.91","27.56","49.59"
"Jared Cowen","9-10","OTT","D","1","6.75","--","--","--","--","--","--","-0.1","-0.89","2","4","-2","33.33","-22.73","--","--","--","0.04","0.31","-0.27","11.43","-37.3","--","--","--","--","--","--","--","--","--","50","16.41","27.63","51.15","27.29","46.79"
"Jared Ross","9-10","PHI","C","3","22.02","--","--","--","--","--","--","1.11","3.02","21","6","15","77.78","29.15","--","1","-1","0.86","0.17","0.69","83.5","37.91","--","1","1","7","19.07","0.37","1.01","--","75","66.67","16.39","26.74","48.94","28.5","46.22"
"Jarkko Ruutu","9-10","OTT","L","82","900.97","12","9","21","19","1.4","1.27","23.36","1.56","767","725","42","51.41","-0.75","36","43","-7","33.87","28.72","5.15","54.11","1.48","33","24","-9","155","10.32","9.2","0.61","12.24","96.54","56.83","23.74","28.43","51.86","28.04","49.46"
"Jarome Iginla","9-10","CGY","R","82","1301.35","20","19","39","31","1.8","1.43","42.29","1.95","1198","1224","-26","49.46","-3.73","49","51","-2","44.68","49.6","-4.92","47.39","-4.88","17","30","13","354","16.32","13.47","0.62","11.11","100.65","52.13","34.15","30.88","53.04","30.17","49.85"
"Jaroslav Spacek","9-10","MTL","D","74","1270.73","2","8","10","4","0.47","0.19","12.22","0.58","1179","1251","-72","48.52","1.56","52","48","4","43.98","49.58","-5.6","47.01","0.61","20","12","-8","168","7.93","3.18","0.15","3.39","101.25","44.75","36.72","29","46.34","29.54","50.21"
"Jarret Stoll","9-10","L.A","C","73","854.02","11","11","22","19","1.55","1.33","26.68","1.87","718","700","18","50.63","-0.16","35","24","11","31.29","26.44","4.85","54.2","3.45","13","12","-1","139","9.77","7.51","0.53","11.83","102.11","51.78","25.52","29.98","49.68","28.94","50.01"
"Jason Arnott","9-10","NSH","C","63","897.72","13","12","25","19","1.67","1.27","33.29","2.22","882","800","82","52.44","0.89","43","39","4","39.41","34.32","5.09","53.45","4.24","9","9","--","227","15.17","11.38","0.76","9.15","99.72","49.29","30.06","30.66","51.45","29.77","49.86"
"Jason Blake","9-10","TOR/ ANA","L","82","1052.23","10","19","29","22","1.65","1.25","43.51","2.48","1135","969","166","53.94","2.94","38","41","-3","49.23","39.42","9.81","55.53","4.74","13","14","1","320","18.25","16.46","0.94","5.08","98.48","55.32","27.63","30.32","50.85","29.16","49.55"
"Jason Chimera","9-10","CBJ/ WSH","L","78","934.38","14","18","32","22","2.05","1.41","30.5","1.96","785","816","-31","49.03","-3.42","43","41","2","29.97","33.43","-3.46","47.27","-6.39","18","10","-8","209","13.42","8.95","0.57","9.79","100.52","46.8","26.01","29.08","50.06","28.76","49.81"
"Jason Demers","9-10","S.J","D","51","612.75","1","8","9","7","0.88","0.69","10.3","1.01","521","538","-17","49.2","-0.8","28","20","8","23.53","26.38","-2.85","47.14","-4.91","6","5","-1","76","7.44","1.58","0.15","2.94","103.57","48.7","25.97","26.66","51.24","28.39","49.71"
"Jason Garrison","9-10","FLA","D","39","512.75","1","5","6","4","0.7","0.47","0.75","0.09","388","512","-124","43.11","-0.08","22","18","4","15.12","17.73","-2.61","46.03","1.8","10","3","-7","40","4.68","0.59","0.07","6.25","103.05","53.6","27.84","28.24","44.77","28.61","49.61"
"Jason Jaffray","9-10","CGY","C/R","3","19.97","--","--","--","--","--","--","0.11","0.33","17","17","--","50","-2.32","--","1","-1","0.54","0.47","0.07","53.47","-4.13","--","--","--","5","15.02","0.23","0.69","--","88.89","85.71","13.47","25.93","52.01","25.64","48.16"
"Jason Pominville","9-10","BUF","R","82","1008.57","13","22","35","28","2.08","1.67","43.84","2.61","1024","965","59","51.48","1.66","48","35","13","43.51","43.5","0.01","50.01","-1.01","4","12","8","281","16.72","12.37","0.74","7.74","101.83","54.34","26.92","30.3","48.51","29.7","50.28"
"Jason Spezza","9-10","OTT","C","60","830.82","10","18","28","23","2.02","1.66","26.89","1.94","767","788","-21","49.32","-2.52","40","36","4","34.92","33.61","1.31","50.96","-2.43","6","9","3","189","13.65","8.86","0.64","10.53","101.14","54.71","29.85","30.16","51.35","29.87","50.01"
"Jason Strudwick","9-10","EDM","D","72","991.23","--","6","6","3","0.36","0.18","-12.12","-0.73","724","1128","-404","39.09","-7.17","36","53","-17","32.55","45.75","-13.2","41.57","-5.97","14","16","2","56","3.39","0.9","0.05","--","99.48","46.27","29.79","27.08","46.44","28.6","49.82"
"Jason Williams","9-10","DET","C","44","474.88","3","6","9","9","1.14","1.14","15.91","2.01","457","361","96","55.87","1.37","11","17","-6","16.21","15.99","0.22","50.34","-3.69","1","7","6","101","12.76","4.06","0.51","5.08","97.08","55.81","22.91","29.96","53.2","28.36","49.76"
"Jay Beagle","9-10","WSH","C","7","64.37","1","1","2","2","1.86","1.86","1.78","1.66","60","71","-11","45.8","-4.89","2","3","-1","2.5","3.34","-0.84","42.81","-5.43","1","1","--","15","13.98","1.04","0.97","10","98.33","48.48","18.95","27.6","52.01","28.18","49.93"
"Jay Bouwmeester","9-10","CGY","D","82","1471.38","1","9","10","4","0.41","0.16","10.22","0.42","1237","1294","-57","48.87","-4.77","42","54","-12","46.08","49.64","-3.56","48.14","-3.74","15","6","-9","174","7.1","3.31","0.13","1.27","98.84","48.05","38.61","27.84","53.29","29.32","49.7"
"Jay Harrison","9-10","CAR","D","37","475.12","1","4","5","2","0.63","0.25","3.05","0.39","401","435","-34","47.97","0.06","13","20","-7","16.24","17.23","-0.99","48.52","2.02","14","7","-7","64","8.08","1.13","0.14","3.85","97.14","53.76","28.3","26.88","48.86","28.52","49.41"
"Jay Leach","9-10","MTL/ S.J","D","34","430.48","--","1","1","1","0.14","0.14","3.4","0.47","372","384","-12","49.21","-2.4","17","17","--","17.24","15.04","2.2","53.41","-0.1","8","7","-1","44","6.13","1.24","0.17","--","100.46","48.58","27.84","26.32","50.12","28.26","50.04"
"Jay Mcclement","9-10","STL","C","82","997.03","11","15","26","21","1.56","1.26","19.7","1.19","794","921","-127","46.3","-6.19","38","36","2","31.19","39.9","-8.71","43.87","-7.8","10","5","-5","155","9.33","6.98","0.42","11.83","101.86","42.19","27.21","29.49","51.96","29.29","50.22"
"Jay Mckee","9-10","PIT","D","61","760.33","1","7","8","3","0.63","0.24","10.87","0.86","739","748","-9","49.7","-2.28","37","36","1","29.1","28.99","0.11","50.09","-2.09","14","5","-9","83","6.55","1.52","0.12","2.56","99.33","50.13","27.72","27.45","52.99","28.32","49.55"
"Jay Pandolfo","9-10","N.J","L","52","606.22","4","5","9","7","0.89","0.69","6.25","0.62","417","500","-83","45.47","-8.22","15","27","-12","15.24","20.17","-4.93","43.04","-12.06","3","5","2","105","10.39","4.76","0.47","6.35","96.62","40.46","24.37","30.03","49.38","29.21","49.75"
"Jay Rosehill","9-10","TOR","L","15","91.68","1","1","2","1","1.31","0.65","-1.96","-1.28","54","107","-53","33.54","-16.27","3","5","-2","2.94","4.27","-1.33","40.78","-9.96","16","9","-7","8","5.24","0.81","0.53","16.67","100.2","53.33","14.01","26.37","50.31","27.75","49.79"
"Jed Ortmeyer","9-10","S.J","R","75","722.22","7","8","15","11","1.25","0.91","20.11","1.67","626","617","9","50.36","-0.76","22","23","-1","27.19","25.3","1.89","51.8","-0.24","10","13","3","174","14.46","9.51","0.79","6.42","99.57","46.43","21.13","27.68","50.31","28.16","49.82"
"Jeff Carter","9-10","PHI","C","74","964.1","18","13","31","24","1.93","1.49","40.45","2.52","1034","955","79","51.99","1.65","41","41","--","47.67","43.44","4.23","52.32","0.83","16","8","-8","363","22.59","17.72","1.1","9.33","99.79","52.91","29.18","30.57","50.76","29.44","49.87"
"Jeff Finger","9-10","TOR","D","39","449.5","1","7","8","5","1.07","0.67","5.17","0.69","397","480","-83","45.27","-11.77","17","27","-10","15.17","20.02","-4.85","43.11","-14.44","6","7","1","64","8.54","1.43","0.19","3.7","97.04","50.69","24.38","27.76","53.25","28.46","49.95"
"Jeff Halpern","9-10","T.B/ L.A","C","71","745.18","7","6","13","11","1.05","0.89","10.68","0.86","576","622","-46","48.08","-0.9","17","28","-11","23.39","24.11","-0.72","49.24","2.52","17","12","-5","96","7.73","5.78","0.47","11.48","96.59","42.4","23.79","29.2","47.68","28.85","49.54"
"Jeff Hoggan","9-10","ARI","R","4","22.8","--","--","--","--","--","--","0.3","0.79","20","18","2","52.63","2.44","--","1","-1","0.53","0.65","-0.12","44.92","-3.57","1","1","--","7","18.42","0.14","0.37","--","90.91","46.67","13.57","26.06","50.04","27.32","48.34"
"Jeffrey Penner","9-10","BOS","D","2","22.97","--","--","--","--","--","--","0.1","0.26","19","19","--","50","5.49","1","1","--","0.56","0.74","-0.18","43.08","-5.85","--","--","--","--","--","--","--","--","98.61","33.33","22.79","26.45","48.58","27.79","52.47"
"Jeff Schultz","9-10","WSH","D","73","1177.83","3","18","21","8","1.07","0.41","35.92","1.83","1250","1067","183","53.95","1.85","78","31","47","48.58","46.02","2.56","51.35","0.46","10","2","-8","95","4.84","1.79","0.09","7.32","106.23","54.29","34.96","28.66","53","29.06","49.44"
"Jeff Taffe","9-10","FLA","L","21","165.82","1","1","2","2","0.72","0.72","-0.11","-0.04","111","172","-61","39.22","-2.64","4","4","--","3.95","5.66","-1.71","41.1","-4.26","2","2","--","25","9.05","0.99","0.36","6.25","101.4","40.79","17.38","27.39","43.72","27.99","49.83"
"Jeff Tambellini","9-10","NYI","L","36","360.4","4","4","8","7","1.33","1.17","3.21","0.53","280","383","-103","42.23","-5.54","11","17","-6","13.94","14.58","-0.64","48.88","-1.02","6","4","-2","73","12.15","4.21","0.7","8.89","98.8","44.69","22.5","29.29","48.11","28.5","49.98"
"Jeff Woywitka","9-10","DAL","D","35","458.2","--","1","1","--","0.13","--","2.62","0.34","427","459","-32","48.19","2.53","12","19","-7","16.59","18.78","-2.19","46.9","0.61","3","3","--","83","10.87","1.75","0.23","--","97.97","54.75","28.42","27.8","47.96","28.54","49.86"
"Jere Lehtinen","9-10","DAL","R","57","651.03","2","9","11","7","1.01","0.65","15.62","1.44","597","547","50","52.19","4.82","19","26","-7","22.92","23.06","-0.14","49.85","1.32","3","10","7","127","11.7","5.61","0.52","2.82","97.28","51.66","24.83","29.7","47.25","29.09","50.13"
"Jerome Samson","9-10","CAR","R","7","58.27","--","2","2","2","2.06","2.06","2.06","2.12","55","57","-2","49.11","1.81","2","3","-1","2.54","2.61","-0.07","49.32","5.86","4","1","-3","20","20.59","1.11","1.14","--","95","44.83","18.22","27.08","48.1","27.33","50.21"
"Jerred Smithson","9-10","NSH","R","69","786.05","6","4","10","9","0.76","0.69","8.73","0.67","619","646","-27","48.93","-4.12","25","32","-7","25.39","28.21","-2.82","47.37","-5.64","14","8","-6","97","7.4","6.19","0.47","12.5","98.39","36.57","23.79","30.58","51.29","29.34","50.04"
"Jesse Joensuu","9-10","NYI","L","11","117.28","--","--","--","--","--","--","2.54","1.3","122","99","23","55.2","8.42","5","1","4","5.26","3.58","1.68","59.5","13.04","3","3","--","18","9.21","1.12","0.57","--","105.65","53.33","24.05","29.03","48.65","28.6","49.51"
"Jesse Winchester","9-10","OTT","C","52","442.8","--","9","9","5","1.22","0.68","15.53","2.1","421","333","88","55.84","5.23","15","18","-3","17.93","13.97","3.96","56.21","5.41","6","4","-2","110","14.91","4.04","0.55","--","95.98","55.19","18.51","28.32","51.36","27.95","49.35"
"J-f Jacques","9-10","EDM","L","49","520.78","4","6","10","6","1.15","0.69","0.19","0.02","382","557","-175","40.68","-7.06","18","30","-12","16.18","23.51","-7.33","40.77","-7.65","18","16","-2","78","8.99","3.83","0.44","8.33","98.84","51.88","22.43","29.81","46.55","29.03","50.29"
"Jim Slater","9-10","ATL","C","61","625.25","10","6","16","15","1.54","1.44","15.96","1.53","548","628","-80","46.6","-2.39","26","26","--","23.71","29.34","-5.63","44.69","-2.69","22","19","-3","157","15.07","8.72","0.84","10.42","101.45","38.89","22.81","28.73","47.63","28.9","49.89"
"Jiri Tlusty","9-10","TOR/ CAR","C","20","228.23","1","5","6","2","1.58","0.53","3.54","0.93","198","235","-37","45.73","1.39","8","6","2","8.25","9.87","-1.62","45.53","3.72","2","1","-1","40","10.52","1.7","0.45","6.67","103.37","40.62","25.07","29.43","48.99","28.81","50.39"
"Jochen Hecht","9-10","BUF","C","79","1040.48","16","17","33","23","1.9","1.33","42.45","2.45","1045","956","89","52.22","2.63","53","43","10","44.93","43.57","1.36","50.77","--","13","9","-4","275","15.86","14.18","0.82","8.84","101","52.79","28.69","29.93","48.84","29.47","50.16"
"Jody Shelley","9-10","S.J/ NYR","L","56","367.02","2","6","8","7","1.31","1.14","8.01","1.31","280","292","-12","48.95","-1.86","13","9","4","13.35","12.04","1.31","52.58","-1.26","26","18","-8","70","11.44","3.76","0.61","4.44","102.67","58.56","14.33","26.51","50.4","27.07","49.17"
"Joe Callahan","9-10","S.J","D","1","9.57","--","1","1","1","6.27","6.27","0.55","3.45","3","13","-10","18.75","-24.29","1","--","1","0.1","0.38","-0.28","20.83","-17.63","--","--","--","--","--","--","--","--","150","28.57","19.94","25.48","51.19","27.83","53.33"
"Joe Corvo","9-10","CAR/ WSH","D","51","805.73","1","5","6","3","0.45","0.22","16.95","1.26","844","688","156","55.09","3.36","28","32","-4","34.61","30.07","4.54","53.51","3.02","4","3","-1","145","10.8","2.64","0.2","1.85","98.21","53.6","35.05","28.04","49.73","29.36","49.38"
"Joel Perrault","9-10","ARI","C","2","15.98","1","--","1","1","3.75","3.75","1.33","4.99","19","19","--","50","-2.63","1","2","-1","0.86","0.71","0.15","54.78","2.91","--","2","2","7","26.28","0.34","1.28","16.67","93.81","72.73","18.66","29.69","51.85","29","48.7"
